Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
20.6,7.241547,33.0,9.0,20.6,23.40351,12.060073,73.0,8.0,23.403508771929825,20.42198944091797,4002,0.29549598693847656,23.40351,0
37.81818,18.751087,74.0,18.0,37.81818181818182,27.655172,17.587763,109.0,10.0,27.655172413793103,26.03834342956543,8012,0.6416456699371338,,1
55.0,21.254412,102.0,24.0,55.0,33.725,18.754093,114.0,10.0,33.725,28.8330078125,12059,0.8872818946838379,,2
54.25,18.287632,89.0,22.0,54.25,45.454544,21.784538,117.0,14.0,45.45454545454545,35.35628890991211,16059,1.129729986190796,,3
57.375,24.909523,99.0,27.0,57.375,54.02667,24.231094,160.0,19.0,54.026666666666664,39.903411865234375,20111,1.3799059391021729,,4
49.7,25.444254,105.0,29.0,49.7,56.887325,28.796299,133.0,14.0,56.88732394366197,42.752662658691406,24150,1.625436782836914,,5
74.666664,24.763325,125.0,50.0,74.66666666666667,56.816902,23.947308,143.0,23.0,56.816901408450704,39.43727493286133,28184,1.8698129653930664,,6
89.6,18.778711,109.0,58.0,89.6,65.32258,33.695877,189.0,19.0,65.3225806451613,47.40840148925781,32234,2.1121609210968018,,7
57.57143,27.338394,117.0,30.0,57.57142857142857,67.11667,25.998775,171.0,25.0,67.11666666666666,43.722747802734375,36261,2.3587639331817627,,8
84.4,14.650597,101.0,58.0,84.4,62.523075,21.365759,127.0,25.0,62.52307692307692,38.935142517089844,40325,2.6110448837280273,,9
107.25,60.582073,200.0,35.0,107.25,70.192986,22.895979,133.0,30.0,70.19298245614036,42.91978454589844,44326,2.938114643096924,,10
96.0,10.825894,106.0,75.0,96.0,77.36539,32.186375,168.0,37.0,77.36538461538461,49.23968505859375,48349,3.2108638286590576,,11
107.25,35.173676,155.0,58.0,107.25,85.61702,37.89715,200.0,39.0,85.61702127659575,55.0472526550293,52373,3.475785970687866,,12
63.0,20.12816,107.0,46.0,63.0,92.36364,40.15543,200.0,25.0,92.36363636363636,57.43048858642578,56437,3.73486590385437,,13
70.0,23.530123,110.0,42.0,70.0,72.05357,25.154821,170.0,39.0,72.05357142857143,41.769691467285156,60472,4.049912691116333,,14
118.0,51.32738,200.0,73.0,118.0,72.94546,29.595709,183.0,27.0,72.94545454545455,43.639801025390625,64484,4.315016984939575,,15
104.75,41.27575,174.0,67.0,104.75,89.13333,35.508747,193.0,43.0,89.13333333333334,51.393333435058594,68495,4.57168984413147,,16
93.166664,36.310772,169.0,60.0,93.16666666666667,106.89474,39.557945,200.0,34.0,106.89473684210526,59.07249069213867,72557,4.833504915237427,,17
144.66667,39.668068,200.0,109.0,144.66666666666666,112.5,37.789257,200.0,46.0,112.5,60.562461853027344,76607,5.0943827629089355,,18
119.75,9.175375,131.0,106.0,119.75,127.03125,38.257748,200.0,71.0,127.03125,66.0057144165039,80672,5.357540845870972,,19
141.5,38.278584,197.0,95.0,141.5,138.93103,37.964535,200.0,69.0,138.93103448275863,70.08387756347656,84701,5.618107795715332,,20
172.0,19.815819,200.0,157.0,172.0,135.16667,40.766064,200.0,57.0,135.16666666666666,68.34194946289062,88756,5.87919282913208,,21
158.0,29.877527,200.0,133.0,158.0,157.61539,36.577713,200.0,78.0,157.6153846153846,75.48662567138672,92854,6.148524045944214,,22
174.0,12.027746,187.0,158.0,174.0,174.16667,25.743391,200.0,126.0,174.16666666666666,80.58116912841797,97034,6.4173948764801025,,23
166.33333,28.63952,200.0,130.0,166.33333333333334,171.04167,28.248125,200.0,123.0,171.04166666666666,80.64791870117188,101139,6.682157754898071,,24
143.66667,13.912424,154.0,124.0,143.66666666666666,162.48,29.265844,200.0,106.0,162.48,75.14815521240234,105201,6.934861660003662,,25
161.33333,3.399346,166.0,158.0,161.33333333333334,169.95833,19.902845,200.0,127.0,169.95833333333334,76.53873443603516,109280,7.197810888290405,,26
182.66667,12.364825,200.0,172.0,182.66666666666666,183.95454,22.568033,200.0,134.0,183.95454545454547,82.44644165039062,113327,7.461302042007446,,27
192.66667,10.3709,200.0,178.0,192.66666666666666,191.95238,15.812821,200.0,138.0,191.95238095238096,86.42027282714844,117358,7.722222805023193,,28
200.0,0.0,200.0,200.0,200.0,199.4762,2.3425474,200.0,189.0,199.47619047619048,86.56353759765625,121547,7.977711915969849,,29
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,86.27368927001953,125547,8.229634761810303,,30
199.66667,0.4714045,200.0,199.0,199.66666666666666,200.0,0.0,200.0,200.0,200.0,87.36979675292969,129547,8.487092018127441,,31
200.0,0.0,200.0,200.0,200.0,198.09525,8.297474,200.0,161.0,198.0952380952381,89.58686828613281,133707,8.749359846115112,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,92.63924407958984,137707,8.993015766143799,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,93.17089080810547,141707,9.245628833770752,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,93.1504898071289,145707,9.49773383140564,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,96.57642364501953,149707,9.750411987304688,,36
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,98.72441864013672,153707,10.046081066131592,,37
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,99.89192199707031,157707,10.298819780349731,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,102.06853485107422,161707,10.544655799865723,,39
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,102.8961410522461,165707,10.79344892501831,,40
200.0,0.0,200.0,200.0,200.0,194.14285,26.193941,200.0,77.0,194.14285714285714,102.7711410522461,169784,11.051654815673828,,41
