Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
31.214285,12.885089,50.0,15.0,31.214285714285715,24.691359,16.022854,136.0,9.0,24.691358024691358,12.393054962158203,4000,0.2589571475982666,24.691359,0
47.0,16.70662,84.0,25.0,47.0,30.08209,18.16017,104.0,9.0,30.082089552238806,13.928350448608398,8031,0.6263432502746582,,1
58.0,9.233092,75.0,47.0,58.0,43.489132,21.984428,114.0,10.0,43.48913043478261,17.82429313659668,12032,0.8726820945739746,,2
58.285713,16.627981,87.0,36.0,58.285714285714285,57.557144,26.266563,138.0,20.0,57.55714285714286,21.81125831604004,16061,1.1249892711639404,,3
76.166664,24.98944,116.0,43.0,76.16666666666667,63.203125,24.3985,138.0,18.0,63.203125,21.926986694335938,20106,1.3753211498260498,,4
115.0,26.009613,144.0,79.0,115.0,78.46154,35.789158,169.0,32.0,78.46153846153847,28.022377014160156,24186,1.629765272140503,,5
101.75,31.307947,154.0,77.0,101.75,83.666664,38.3576,200.0,27.0,83.66666666666667,28.931724548339844,28202,1.8788259029388428,,6
121.25,26.423239,161.0,87.0,121.25,91.545456,35.311893,198.0,32.0,91.54545454545455,29.344186782836914,32230,2.1335971355438232,,7
143.66667,19.223827,168.0,121.0,143.66666666666666,121.5,41.567272,195.0,60.0,121.5,37.37348556518555,36361,2.3948872089385986,,8
173.33333,28.394053,200.0,134.0,173.33333333333334,151.25926,36.445385,200.0,73.0,151.25925925925927,42.90899658203125,40445,2.6565041542053223,,9
153.0,33.35666,200.0,126.0,153.0,171.45833,28.071306,200.0,113.0,171.45833333333334,46.19294738769531,44560,2.9156301021575928,,10
157.0,30.430248,180.0,114.0,157.0,167.5,34.379013,200.0,97.0,167.5,45.21519088745117,48580,3.1696419715881348,,11
194.0,8.485281,200.0,182.0,194.0,179.43478,28.23939,200.0,112.0,179.43478260869566,46.83179473876953,52707,3.4312491416931152,,12
167.66667,45.72624,200.0,103.0,167.66666666666666,181.08696,26.950699,200.0,126.0,181.08695652173913,46.49287033081055,56872,3.6950061321258545,,13
200.0,0.0,200.0,200.0,200.0,180.56522,28.809458,200.0,113.0,180.56521739130434,46.27708053588867,61025,3.9520351886749268,,14
200.0,0.0,200.0,200.0,200.0,190.57143,19.72084,200.0,131.0,190.57142857142858,48.718971252441406,65027,4.232195138931274,,15
200.0,0.0,200.0,200.0,200.0,189.45454,25.975037,200.0,113.0,189.45454545454547,48.575626373291016,69195,4.520589113235474,,16
149.25,33.214268,200.0,109.0,149.25,196.0,17.888544,200.0,116.0,196.0,49.09389114379883,73311,4.7901201248168945,,17
200.0,0.0,200.0,200.0,200.0,184.77272,21.006346,200.0,139.0,184.77272727272728,47.09418487548828,77376,5.047000169754028,,18
