Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
25.722221,14.722641,79.0,12.0,25.72222222222222,24.73006,13.430604,96.0,9.0,24.73006134969325,-0.0052865007892251015,4031,0.27723121643066406,24.73006,0
46.22222,19.291782,78.0,22.0,46.22222222222222,34.594826,19.388042,145.0,11.0,34.5948275862069,-0.00975064653903246,8044,0.6604211330413818,,1
42.545456,24.09211,90.0,14.0,42.54545454545455,41.4433,21.745941,107.0,11.0,41.44329896907217,-0.011811989359557629,12064,0.933258056640625,,2
88.8,25.879723,121.0,55.0,88.8,56.577465,29.030657,144.0,14.0,56.57746478873239,-0.005035980138927698,16081,1.1894640922546387,,3
73.833336,29.339489,132.0,35.0,73.83333333333333,61.953846,31.816025,176.0,14.0,61.95384615384615,-0.007660253904759884,20108,1.4463090896606445,,4
81.833336,24.83557,117.0,42.0,81.83333333333333,75.203705,37.817974,200.0,25.0,75.20370370370371,-0.009390431456267834,24169,1.703322172164917,,5
94.5,49.148582,200.0,45.0,94.5,83.333336,28.89156,159.0,28.0,83.33333333333333,-0.0036934013478457928,28169,1.9626891613006592,,6
99.6,47.364964,163.0,48.0,99.6,90.844444,40.92701,194.0,38.0,90.84444444444445,-0.001055738888680935,32257,2.223229169845581,,7
153.0,25.390287,180.0,119.0,153.0,118.67647,39.345917,200.0,41.0,118.67647058823529,-0.007313997019082308,36292,2.4771840572357178,,8
178.66667,27.390184,200.0,140.0,178.66666666666666,151.85185,40.496647,200.0,63.0,151.85185185185185,-0.009370168671011925,40392,2.73953914642334,,9
158.0,11.518102,173.0,145.0,158.0,158.23077,40.069466,200.0,51.0,158.23076923076923,-0.016906172037124634,44506,3.0001060962677,,10
200.0,0.0,200.0,200.0,200.0,160.56,29.686468,200.0,109.0,160.56,-0.00901129562407732,48520,3.2512011528015137,,11
152.66667,34.451252,200.0,119.0,152.66666666666666,175.82608,30.654673,200.0,90.0,175.82608695652175,-0.009107472375035286,52564,3.5062520503997803,,12
159.0,33.075672,200.0,119.0,159.0,170.70833,31.410559,200.0,121.0,170.70833333333334,-0.008635368198156357,56661,3.7641611099243164,,13
188.0,11.7756815,200.0,172.0,188.0,193.61905,16.22014,200.0,142.0,193.61904761904762,-0.006837335880845785,60727,4.026660203933716,,14
200.0,0.0,200.0,200.0,200.0,188.36363,24.283451,200.0,106.0,188.36363636363637,-0.006321009248495102,64871,4.2845423221588135,,15
171.66667,20.949675,200.0,150.0,171.66666666666666,190.7619,19.666033,200.0,122.0,190.76190476190476,-0.0013243501307442784,68877,4.541540145874023,,16
200.0,0.0,200.0,200.0,200.0,189.72728,23.267576,200.0,117.0,189.72727272727272,-0.012372639030218124,73051,4.79927921295166,,17
200.0,0.0,200.0,200.0,200.0,183.54546,27.006273,200.0,120.0,183.54545454545453,-0.00689071137458086,77089,5.052272081375122,,18
