Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
26.8,10.296925,50.0,11.0,26.8,25.125,14.043126,74.0,9.0,25.125,-0.006507387850433588,1005,0.08922886848449707,25.125,0
44.8,20.764393,101.0,27.0,44.8,28.277779,14.786652,60.0,12.0,28.27777777777778,-0.019238058477640152,2023,0.2766389846801758,,1
41.2,28.301239,118.0,22.0,41.2,44.652172,27.418827,132.0,14.0,44.65217391304348,-0.015239138156175613,3050,0.3567628860473633,,2
88.8,37.4294,154.0,51.0,88.8,57.22222,27.514755,138.0,10.0,57.22222222222222,-0.01574801467359066,4080,0.4412350654602051,,3
79.0,36.936882,141.0,39.0,79.0,63.0625,35.550087,164.0,27.0,63.0625,-0.0014343016082420945,5089,0.523345947265625,,4
64.125,39.431705,158.0,25.0,64.125,65.5625,27.710487,144.0,25.0,65.5625,-0.008702397346496582,6138,0.6102988719940186,,5
102.75,48.75128,154.0,39.0,102.75,77.38461,36.958477,153.0,22.0,77.38461538461539,-0.0154352355748415,7144,0.69138503074646,,6
109.25,23.941334,140.0,83.0,109.25,76.5,22.067268,137.0,37.0,76.5,-0.0010576077038422227,8215,0.7775919437408447,,7
91.0,46.307667,181.0,52.0,91.0,77.84615,33.96117,168.0,31.0,77.84615384615384,-0.02257649041712284,9227,0.8866949081420898,,8
84.4,30.309074,138.0,56.0,84.4,92.72727,36.412014,161.0,43.0,92.72727272727273,-0.004389802925288677,10247,0.9681601524353027,,9
93.0,15.086418,112.0,74.0,93.0,105.0,38.98461,182.0,64.0,105.0,-0.008007817901670933,11297,1.0543620586395264,,10
70.5,13.744696,87.0,45.0,70.5,79.46154,36.672386,171.0,37.0,79.46153846153847,0.007176840677857399,12330,1.1368000507354736,,11
77.166664,21.427526,110.0,39.0,77.16666666666667,85.583336,36.112,190.0,47.0,85.58333333333333,0.014001953415572643,13357,1.2201499938964844,,12
121.0,51.918205,200.0,61.0,121.0,92.181816,32.942978,159.0,52.0,92.18181818181819,0.008330846205353737,14371,1.3036339282989502,,13
100.0,22.28228,125.0,74.0,100.0,90.25,37.760483,172.0,47.0,90.25,0.007528393063694239,15454,1.3860440254211426,,14
94.4,31.865969,146.0,53.0,94.4,107.8,28.354187,159.0,76.0,107.8,0.028734421357512474,16532,1.4714670181274414,,15
182.33333,2.867442,186.0,179.0,182.33333333333334,111.77778,28.533714,158.0,71.0,111.77777777777777,-0.003262294689193368,17538,1.5576789379119873,,16
127.5,19.981241,149.0,95.0,127.5,171.83333,15.528647,200.0,155.0,171.83333333333334,0.016177169978618622,18569,1.6450698375701904,,17
110.25,29.894606,133.0,59.0,110.25,122.888885,31.423431,178.0,76.0,122.88888888888889,-0.014126632362604141,19675,1.7314529418945312,,18
168.0,26.545559,200.0,135.0,168.0,148.5,35.078484,200.0,116.0,148.5,0.006658959202468395,20863,1.825343132019043,,19
180.66667,24.567368,200.0,146.0,180.66666666666666,168.42857,35.74456,200.0,114.0,168.42857142857142,-0.011853612959384918,22042,1.9214539527893066,,20
151.66667,15.923428,171.0,132.0,151.66666666666666,162.85715,29.83492,200.0,125.0,162.85714285714286,0.014785812236368656,23182,2.0107460021972656,,21
163.66667,26.08107,200.0,140.0,163.66666666666666,168.66667,21.351555,196.0,135.0,168.66666666666666,-0.013420108705759048,24194,2.0948970317840576,,22
161.0,28.437065,200.0,133.0,161.0,153.57143,22.250889,200.0,124.0,153.57142857142858,0.012146435678005219,25269,2.222480058670044,,23
144.66667,7.586538,155.0,137.0,144.66666666666666,163.28572,25.02407,200.0,134.0,163.28571428571428,-0.007511774078011513,26412,2.3120999336242676,,24
177.0,17.378147,200.0,158.0,177.0,148.0,25.668213,200.0,120.0,148.0,-0.01188685093075037,27448,2.3988711833953857,,25
173.66667,18.660715,200.0,159.0,173.66666666666666,186.66667,20.749832,200.0,145.0,186.66666666666666,-0.0171479731798172,28568,2.4898340702056885,,26
162.66667,38.30869,200.0,110.0,162.66666666666666,188.16667,24.292774,200.0,134.0,188.16666666666666,0.005923254881054163,29697,2.5807480812072754,,27
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,30697,2.6609511375427246,,28
200.0,0.0,200.0,200.0,200.0,194.83333,11.553019,200.0,169.0,194.83333333333334,0.0008358702762052417,31866,2.748396158218384,,29
200.0,0.0,200.0,200.0,200.0,183.0,22.766935,200.0,138.0,183.0,-0.014617713168263435,32964,2.8330981731414795,,30
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,33964,2.911553144454956,,31
200.0,0.0,200.0,200.0,200.0,182.33333,25.223446,200.0,141.0,182.33333333333334,-0.00683570047840476,35058,2.9945831298828125,,32
182.66667,13.888445,200.0,166.0,182.66666666666666,189.33333,17.688665,200.0,152.0,189.33333333333334,0.003663914278149605,36194,3.088564157485962,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,37194,3.16882586479187,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,38194,3.2493059635162354,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,39194,3.327787160873413,,36
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,40194,3.4063150882720947,,37
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,41194,3.4845049381256104,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,42194,3.5619919300079346,,39
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,43194,3.6404812335968018,,40
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,44194,3.7189269065856934,,41
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,45194,3.797006845474243,,42
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,46194,3.875221014022827,,43
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,47194,3.9539711475372314,,44
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,48194,4.034837007522583,,45
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,49194,4.114721059799194,,46
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,50194,4.198944091796875,,47
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,51194,4.277804136276245,,48
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,52194,4.358401775360107,,49
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,53194,4.43721604347229,,50
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,54194,4.515382766723633,,51
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,55194,4.594058990478516,,52
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,56194,4.672918081283569,,53
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,57194,4.7506818771362305,,54
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,58194,4.830554962158203,,55
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,59194,4.909233093261719,,56
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,60194,4.987467050552368,,57
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,61194,5.068488121032715,,58
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,62194,5.148931980133057,,59
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,63194,5.22898006439209,,60
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,64194,5.308429002761841,,61
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,65194,5.387617111206055,,62
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,66194,5.468106031417847,,63
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,67194,5.54736590385437,,64
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,68194,5.627679109573364,,65
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,69194,5.7066991329193115,,66
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,70194,5.78594708442688,,67
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,71194,5.864777088165283,,68
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,72194,5.9444990158081055,,69
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,73194,6.024014949798584,,70
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,74194,6.102879047393799,,71
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,75194,6.181958913803101,,72
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,76194,6.26298189163208,,73
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,77194,6.3416900634765625,,74
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,78194,6.420562982559204,,75
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,79194,6.499186038970947,,76
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,80194,6.577904939651489,,77
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,81194,6.656781911849976,,78
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,82194,6.735576868057251,,79
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,83194,6.814909934997559,,80
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,84194,6.893970966339111,,81
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,85194,6.9731879234313965,,82
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,86194,7.084869861602783,,83
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,87194,7.166675090789795,,84
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,88194,7.247871160507202,,85
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,89194,7.32941198348999,,86
