Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
29.6,15.755634,76.0,13.0,29.6,24.04651,13.240097,70.0,10.0,24.046511627906977,11.129027366638184,1034,0.10537600517272949,24.04651,0
53.0,25.121923,94.0,15.0,53.0,34.96552,25.234737,131.0,10.0,34.96551724137931,17.887531280517578,2048,0.3233320713043213,,1
55.625,21.230505,93.0,16.0,55.625,37.703705,17.399052,80.0,13.0,37.7037037037037,14.947081565856934,3066,0.4072229862213135,,2
59.714287,23.746965,112.0,35.0,59.714285714285715,55.555557,24.579174,106.0,25.0,55.55555555555556,20.836294174194336,4066,0.4885239601135254,,3
61.142857,14.759293,83.0,43.0,61.142857142857146,51.65,19.105694,96.0,24.0,51.65,17.519454956054688,5099,0.5707099437713623,,4
86.6,18.36954,120.0,69.0,86.6,85.38461,34.706543,152.0,36.0,85.38461538461539,29.097280502319336,6209,0.6569869518280029,,5
67.57143,36.169666,144.0,24.0,67.57142857142857,77.21429,27.563377,130.0,24.0,77.21428571428571,24.513309478759766,7290,0.7429308891296387,,6
72.666664,12.736649,90.0,49.0,72.66666666666667,100.90909,39.99876,173.0,50.0,100.9090909090909,33.26750946044922,8400,0.8316340446472168,,7
74.5,20.94238,110.0,41.0,74.5,77.53846,27.368187,148.0,47.0,77.53846153846153,23.820627212524414,9408,0.9143729209899902,,8
82.6,18.336847,100.0,55.0,82.6,65.6875,15.802368,113.0,45.0,65.6875,18.826457977294922,10459,0.9981818199157715,,9
87.6,40.858784,155.0,45.0,87.6,73.5,23.618242,117.0,36.0,73.5,21.978031158447266,11488,1.079916000366211,,10
140.5,15.945219,168.0,129.0,140.5,107.6,40.219894,174.0,51.0,107.6,32.61338806152344,12564,1.1703510284423828,,11
133.5,41.919567,200.0,90.0,133.5,169.66667,31.057295,193.0,108.0,169.66666666666666,45.073753356933594,13582,1.2582521438598633,,12
94.0,51.353676,182.0,47.0,94.0,162.57143,32.508713,200.0,132.0,162.57142857142858,43.13844680786133,14720,1.3463869094848633,,13
93.6,34.98914,146.0,44.0,93.6,112.4,27.979279,155.0,58.0,112.4,30.787220001220703,15844,1.4356999397277832,,14
94.4,35.103275,150.0,43.0,94.4,103.7,42.475994,170.0,42.0,103.7,30.341501235961914,16881,1.5204100608825684,,15
128.0,29.436373,171.0,94.0,128.0,119.44444,21.772108,163.0,78.0,119.44444444444444,30.86810302734375,17956,1.6094982624053955,,16
161.66667,7.586538,168.0,151.0,161.66666666666666,133.125,41.7775,200.0,67.0,133.125,36.127655029296875,19021,1.6952860355377197,,17
140.0,15.577762,162.0,128.0,140.0,147.71428,30.098478,200.0,123.0,147.71428571428572,38.227725982666016,20055,1.7763550281524658,,18
200.0,0.0,200.0,200.0,200.0,165.71428,19.557346,200.0,134.0,165.71428571428572,40.90224838256836,21215,1.8638269901275635,,19
180.66667,27.341461,200.0,142.0,180.66666666666666,182.33333,19.119507,200.0,155.0,182.33333333333334,41.9267463684082,22309,1.9984798431396484,,20
158.33333,30.092451,200.0,130.0,158.33333333333334,182.0,25.980762,200.0,137.0,182.0,44.6036376953125,23401,2.0861260890960693,,21
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,43.72484588623047,24401,2.1640069484710693,,22
200.0,0.0,200.0,200.0,200.0,191.0,17.981472,200.0,151.0,191.0,44.88825988769531,25547,2.250356912612915,,23
177.33333,29.272665,200.0,136.0,177.33333333333334,177.16667,22.923182,200.0,151.0,177.16666666666666,42.946929931640625,26610,2.341953992843628,,24
141.66667,21.638443,172.0,123.0,141.66666666666666,146.0,30.789608,200.0,119.0,146.0,34.2722053527832,27632,2.4266650676727295,,25
147.0,10.424331,158.0,133.0,147.0,128.125,16.289854,145.0,99.0,128.125,30.215829849243164,28657,2.5084171295166016,,26
115.4,46.271374,181.0,65.0,115.4,117.111115,21.79421,152.0,88.0,117.11111111111111,27.01028823852539,29711,2.599727153778076,,27
102.75,8.073877,113.0,93.0,102.75,101.6,21.10071,135.0,65.0,101.6,24.292984008789062,30727,2.6817409992218018,,28
100.75,36.01649,159.0,65.0,100.75,103.1,18.354563,126.0,53.0,103.1,23.069597244262695,31758,2.7620160579681396,,29
142.33333,19.567547,170.0,128.0,142.33333333333334,114.888885,31.900694,183.0,79.0,114.88888888888889,26.750383377075195,32792,2.848461151123047,,30
122.0,10.440307,133.0,105.0,122.0,114.333336,24.202845,150.0,73.0,114.33333333333333,26.689847946166992,33821,2.9345312118530273,,31
175.33333,9.392669,187.0,164.0,175.33333333333334,138.625,27.910292,199.0,106.0,138.625,31.195192337036133,34930,3.0268900394439697,,32
200.0,0.0,200.0,200.0,200.0,169.16667,21.835876,200.0,138.0,169.16666666666666,36.79258346557617,35945,3.1062448024749756,,33
200.0,0.0,200.0,200.0,200.0,172.33333,29.46561,200.0,123.0,172.33333333333334,39.16259765625,36979,3.1873631477355957,,34
200.0,0.0,200.0,200.0,200.0,185.0,18.147543,200.0,151.0,185.0,39.87309265136719,38089,3.27225399017334,,35
200.0,0.0,200.0,200.0,200.0,193.5,14.534442,200.0,161.0,193.5,43.10956954956055,39250,3.3598599433898926,,36
194.66667,7.542472,200.0,184.0,194.66666666666666,191.83333,18.261223,200.0,151.0,191.83333333333334,40.875423431396484,40401,3.4571001529693604,,37
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,45.52451705932617,41401,3.538203001022339,,38
191.0,12.727922,200.0,173.0,191.0,199.0,2.236068,200.0,194.0,199.0,40.248146057128906,42595,3.6385610103607178,,39
156.33333,34.373764,200.0,116.0,156.33333333333334,193.83333,9.099755,200.0,177.0,193.83333333333334,42.21253967285156,43758,3.730039119720459,,40
200.0,0.0,200.0,200.0,200.0,181.0,19.527758,200.0,157.0,181.0,41.01609802246094,44844,3.8168070316314697,,41
162.66667,17.518244,177.0,138.0,162.66666666666666,179.83333,20.979486,200.0,150.0,179.83333333333334,37.68767166137695,45923,3.903872013092041,,42
173.66667,36.536133,200.0,122.0,173.66666666666666,189.5,12.433154,200.0,167.0,189.5,41.25788879394531,47060,3.999352216720581,,43
200.0,0.0,200.0,200.0,200.0,184.16667,22.704014,200.0,146.0,184.16666666666666,40.375205993652344,48165,4.084637880325317,,44
182.66667,24.513035,200.0,148.0,182.66666666666666,199.33333,1.4907119,200.0,196.0,199.33333333333334,43.102596282958984,49361,4.181162118911743,,45
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,43.05075454711914,50361,4.26142692565918,,46
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,42.572227478027344,51361,4.339463949203491,,47
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,44.428497314453125,52361,4.417604923248291,,48
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,43.1243782043457,53361,4.523464918136597,,49
200.0,0.0,200.0,200.0,200.0,197.66667,5.2174926,200.0,186.0,197.66666666666666,42.1763801574707,54547,4.615112066268921,,50
158.66667,29.272663,200.0,136.0,158.66666666666666,200.0,0.0,200.0,200.0,200.0,45.67850112915039,55547,4.699149131774902,,51
200.0,0.0,200.0,200.0,200.0,188.0,26.832815,200.0,128.0,188.0,44.02632141113281,56675,4.784183025360107,,52
165.0,25.495098,200.0,140.0,165.0,193.5,14.534442,200.0,161.0,193.5,43.90184020996094,57836,4.878227949142456,,53
178.0,31.112698,200.0,134.0,178.0,179.66667,23.907228,200.0,135.0,179.66666666666666,42.20749282836914,58914,4.967792987823486,,54
170.33333,24.931015,200.0,139.0,170.33333333333334,171.0,30.221405,200.0,125.0,171.0,39.37198257446289,59940,5.0551018714904785,,55
200.0,0.0,200.0,200.0,200.0,174.5,36.07284,200.0,122.0,174.5,41.98614501953125,60987,5.136090040206909,,56
200.0,0.0,200.0,200.0,200.0,174.66667,36.604492,200.0,111.0,174.66666666666666,42.84939193725586,62035,5.217199802398682,,57
190.33333,13.670732,200.0,171.0,190.33333333333334,181.66667,26.15764,200.0,139.0,181.66666666666666,42.34214782714844,63125,5.311788082122803,,58
170.0,24.913183,200.0,139.0,170.0,179.33333,31.217873,200.0,119.0,179.33333333333334,45.59687805175781,64201,5.399848937988281,,59
145.0,14.142136,165.0,135.0,145.0,153.85715,21.82023,200.0,131.0,153.85714285714286,35.62228775024414,65278,5.485607862472534,,60
140.66667,18.732029,167.0,125.0,140.66666666666666,147.42857,16.672108,176.0,125.0,147.42857142857142,34.10165786743164,66310,5.567556142807007,,61
123.75,6.941722,134.0,116.0,123.75,132.375,13.369158,149.0,116.0,132.375,31.480165481567383,67369,5.6568992137908936,,62
120.0,14.798649,143.0,107.0,120.0,122.111115,12.485053,145.0,103.0,122.11111111111111,28.645036697387695,68468,5.747833013534546,,63
119.5,4.3301272,127.0,117.0,119.5,122.0,9.213516,134.0,109.0,122.0,28.775808334350586,69566,5.836676836013794,,64
111.0,11.85327,121.0,92.0,111.0,118.77778,7.0360622,131.0,106.0,118.77777777777777,27.200428009033203,70635,5.923686981201172,,65
85.4,28.011427,112.0,38.0,85.4,111.4,18.964176,129.0,60.0,111.4,25.729114532470703,71749,6.012228965759277,,66
110.0,4.690416,118.0,106.0,110.0,98.27273,25.968832,122.0,29.0,98.27272727272727,23.42963409423828,72830,6.099370956420898,,67
95.4,26.770132,122.0,44.0,95.4,92.25,27.640926,119.0,38.0,92.25,22.95782470703125,73937,6.19000506401062,,68
91.8,18.80851,114.0,67.0,91.8,97.0,20.068066,117.0,53.0,97.0,21.960874557495117,75004,6.277087926864624,,69
91.8,13.789851,103.0,66.0,91.8,104.4,16.169106,120.0,61.0,104.4,23.595796585083008,76048,6.36275315284729,,70
89.2,22.283627,118.0,62.0,89.2,83.416664,26.116592,119.0,45.0,83.41666666666667,19.46721839904785,77049,6.4443840980529785,,71
81.333336,23.292824,126.0,56.0,81.33333333333333,102.6,19.504871,126.0,49.0,102.6,23.17243766784668,78075,6.532954931259155,,72
108.75,4.81534,117.0,105.0,108.75,102.6,18.045498,124.0,63.0,102.6,22.661073684692383,79101,6.616019010543823,,73
112.75,2.384848,116.0,110.0,112.75,94.36364,22.29257,125.0,49.0,94.36363636363636,21.25246810913086,80139,6.701149940490723,,74
100.75,33.610825,131.0,44.0,100.75,111.44444,5.4997196,119.0,103.0,111.44444444444444,23.281272888183594,81142,6.781022071838379,,75
104.75,25.420218,124.0,61.0,104.75,102.8,19.8736,124.0,48.0,102.8,24.042564392089844,82170,6.862414121627808,,76
111.5,6.344289,122.0,106.0,111.5,112.55556,6.0389686,123.0,104.0,112.55555555555556,23.8226261138916,83183,6.944910049438477,,77
97.2,24.185946,119.0,52.0,97.2,104.9,12.193851,121.0,75.0,104.9,22.536203384399414,84232,7.03006911277771,,78
101.0,7.4027023,108.0,87.0,101.0,105.8,20.27708,120.0,46.0,105.8,22.371641159057617,85290,7.118880033493042,,79
100.25,26.12829,116.0,55.0,100.25,99.0,17.482458,117.0,48.0,99.0,21.614973068237305,86379,7.202809810638428,,80
104.5,6.0621777,113.0,97.0,104.5,93.72727,23.954847,115.0,47.0,93.72727272727273,19.762304306030273,87410,7.28560996055603,,81
107.0,5.4313903,115.0,102.0,107.0,99.27273,19.339508,111.0,41.0,99.27272727272727,21.5013484954834,88502,7.3715598583221436,,82
109.0,5.91608,116.0,100.0,109.0,89.583336,29.389505,117.0,37.0,89.58333333333333,19.619510650634766,89577,7.457048177719116,,83
110.5,6.8007355,122.0,105.0,110.5,111.2,8.588364,121.0,97.0,111.2,22.92951202392578,90689,7.545284032821655,,84
106.75,3.9607449,112.0,102.0,106.75,101.9,20.388477,117.0,44.0,101.9,22.555423736572266,91708,7.628111124038696,,85
112.5,7.889867,126.0,106.0,112.5,108.7,9.829039,128.0,99.0,108.7,23.314592361450195,92795,7.7146220207214355,,86
110.0,5.3851647,115.0,101.0,110.0,110.3,8.000625,124.0,99.0,110.3,24.198400497436523,93898,7.8013482093811035,,87
115.75,6.5717196,122.0,105.0,115.75,116.111115,5.4251356,123.0,106.0,116.11111111111111,23.64604377746582,94943,7.889210939407349,,88
113.0,7.28011,124.0,104.0,113.0,114.666664,5.477226,128.0,109.0,114.66666666666667,22.486713409423828,95975,7.971932888031006,,89
116.5,7.5,125.0,106.0,116.5,114.44444,6.396373,125.0,105.0,114.44444444444444,23.282743453979492,97005,8.057415008544922,,90
116.75,5.3091903,124.0,109.0,116.75,115.666664,9.486833,134.0,103.0,115.66666666666667,24.346315383911133,98046,8.143887996673584,,91
125.25,2.8613808,129.0,121.0,125.25,118.44444,5.698169,129.0,111.0,118.44444444444444,25.83138656616211,99112,8.233916997909546,,92
131.25,5.8040934,141.0,126.0,131.25,119.111115,6.367355,129.0,108.0,119.11111111111111,26.05841064453125,100184,8.324671983718872,,93
139.66667,0.942809,141.0,139.0,139.66666666666666,128.125,5.5551214,137.0,118.0,128.125,26.879240036010742,101209,8.407642841339111,,94
154.33333,7.039571,162.0,145.0,154.33333333333334,141.75,7.5456944,157.0,131.0,141.75,31.753768920898438,102343,8.497670888900757,,95
164.33333,9.428091,171.0,151.0,164.33333333333334,134.625,40.954052,160.0,28.0,134.625,33.35737228393555,103420,8.585609912872314,,96
170.66667,2.867442,174.0,167.0,170.66666666666666,162.42857,7.2280636,170.0,150.0,162.42857142857142,36.987247467041016,104557,8.678659200668335,,97
181.0,3.2659864,185.0,177.0,181.0,171.16667,4.669642,178.0,164.0,171.16666666666666,39.90681076049805,105584,8.767908096313477,,98
200.0,0.0,200.0,200.0,200.0,183.33333,8.787618,200.0,170.0,183.33333333333334,44.27760696411133,106684,8.85286808013916,,99
