Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-796.8301,47.225544,-736.10254,-851.2667,1000.0,-645.8583,104.02779,-521.2478,-770.141,1000.0,-108.96202850341797,5000,0.6098852157592773,-645.8583,0
-831.13574,54.899586,-768.43134,-902.1372,1000.0,-826.23975,36.90942,-764.994,-864.6654,1000.0,-138.2124786376953,10000,1.3421108722686768,,1
-793.06866,134.70818,-659.77466,-977.5884,1000.0,-848.1344,82.548386,-732.1089,-974.9617,1000.0,-140.48277282714844,15000,1.9136581420898438,,2
-813.31366,19.981855,-785.05664,-827.70044,1000.0,-861.95233,69.03772,-772.4031,-977.334,1000.0,-142.10275268554688,20000,2.4925191402435303,,3
-862.81805,33.060905,-827.6454,-907.08203,1000.0,-853.8021,45.515503,-795.09705,-924.9938,1000.0,-140.55702209472656,25000,3.0651371479034424,,4
-904.8533,115.45497,-747.02435,-1019.9934,1000.0,-884.4199,74.883965,-745.9303,-959.53503,1000.0,-145.5980987548828,30000,3.635478973388672,,5
-948.6253,42.408325,-898.4308,-1002.14935,1000.0,-984.28284,124.57124,-811.05945,-1125.6519,1000.0,-159.88914489746094,35000,4.22379207611084,,6
-1034.3005,46.24741,-985.38904,-1096.3593,1000.0,-894.7909,50.259933,-795.92114,-935.7924,1000.0,-146.03965759277344,40000,4.79643702507019,,7
-1057.1682,89.295906,-946.39453,-1165.0673,1000.0,-952.06085,55.00747,-915.0554,-1060.2174,1000.0,-154.54600524902344,45000,5.370306015014648,,8
-1163.5927,77.60857,-1088.1715,-1270.3567,1000.0,-1029.5609,73.488266,-931.1864,-1152.4535,1000.0,-165.594482421875,50000,5.9711830615997314,,9
-989.4634,26.47686,-952.3666,-1012.4169,1000.0,-1140.7411,55.4396,-1048.6992,-1218.4147,1000.0,-184.1207275390625,55000,6.5718700885772705,,10
-951.5827,8.980046,-940.96094,-962.9223,1000.0,-1105.4314,63.4313,-1010.2043,-1179.2515,1000.0,-177.6051025390625,60000,7.173346042633057,,11
-967.78644,6.528672,-959.41406,-975.3435,1000.0,-968.6354,18.47082,-936.33997,-988.1334,1000.0,-154.14862060546875,65000,7.768094062805176,,12
-942.8505,38.90288,-894.66095,-989.9339,1000.0,-950.85974,82.9048,-800.9512,-1033.3114,1000.0,-150.7052001953125,70000,8.358794927597046,,13
-997.4902,61.23595,-911.51587,-1049.4817,1000.0,-1015.41223,46.594555,-963.31104,-1090.5181,1000.0,-160.69320678710938,75000,8.939752101898193,,14
-932.665,44.868164,-869.3384,-967.7976,1000.0,-943.79944,67.12672,-842.1085,-1029.367,1000.0,-148.70042419433594,80000,9.55167818069458,,15
-955.289,78.41144,-844.61035,-1016.56195,1000.0,-945.8742,49.571106,-863.2614,-1007.7945,1000.0,-149.15061950683594,85000,10.145920991897583,,16
-959.15967,4.426971,-953.27264,-963.94824,1000.0,-942.9515,40.8926,-878.2818,-986.4063,1000.0,-147.27061462402344,90000,10.789322853088379,,17
-937.2837,21.61558,-919.45197,-967.7024,1000.0,-986.3957,33.234184,-934.98926,-1017.85767,1000.0,-153.04103088378906,95000,11.372318983078003,,18
