Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-806.35126,48.71227,-767.18097,-875.0138,1000.0,-661.60126,52.59704,-602.14307,-742.3944,1000.0,-110.26372528076172,151.85733032226562,5000,0.6385757923126221,-661.60126,0
-802.559,33.072666,-756.8804,-834.1047,1000.0,-712.1383,28.887365,-667.3868,-748.9546,1000.0,-100.56997680664062,94.17414855957031,10000,7.687354803085327,,1
-806.32324,52.394424,-733.33167,-853.8613,1000.0,-728.3827,52.68235,-649.88916,-780.1952,1000.0,-69.80606079101562,58.9956169128418,15000,8.3072829246521,,2
-982.84503,80.889366,-870.97217,-1059.4691,1000.0,-896.17004,46.432068,-817.0039,-960.11536,1000.0,-56.74442672729492,44.775291442871094,20000,8.933023929595947,,3
-876.3132,193.02351,-610.5969,-1063.3309,1000.0,-949.5226,64.06972,-878.3504,-1061.1215,1000.0,-34.5670280456543,27.8272647857666,25000,9.556895971298218,,4
-868.5254,45.23389,-813.5432,-924.3339,1000.0,-920.64014,93.58563,-815.5311,-1037.4436,1000.0,-10.607640266418457,49.16526412963867,30000,10.18092966079712,,5
-885.87335,97.944595,-808.55554,-1024.0621,1000.0,-877.6869,111.310295,-699.46106,-985.9072,1000.0,17.471649169921875,37.836944580078125,35000,10.805148839950562,,6
-868.26416,50.89305,-801.9332,-925.6228,1000.0,-889.68713,37.18372,-828.1741,-937.40063,1000.0,-33.04742431640625,153.69496154785156,40000,11.42412281036377,,7
-813.4715,83.63049,-730.97095,-928.1134,1000.0,-774.0498,89.65343,-622.39417,-876.85425,1000.0,7.289881229400635,44.34373474121094,45000,12.044557809829712,,8
-755.36395,9.182394,-747.73535,-768.27924,1000.0,-796.8751,19.445269,-773.6515,-822.5648,1000.0,9.341155052185059,22.492061614990234,50000,12.666488885879517,,9
-707.7373,51.43922,-658.18475,-778.6373,1000.0,-764.0945,47.550503,-699.9481,-840.0075,1000.0,-14.207963943481445,36.81869888305664,55000,13.28849482536316,,10
-714.92194,20.039421,-687.5338,-734.9236,1000.0,-740.14465,41.232407,-693.7724,-795.0103,1000.0,-1.8900851011276245,40.5535888671875,60000,19.977966785430908,,11
-675.80316,60.555412,-613.47705,-757.82904,1000.0,-645.979,59.479656,-586.1112,-757.7384,1000.0,12.260610580444336,37.966758728027344,65000,20.59915280342102,,12
-662.59674,28.690235,-622.8337,-689.469,1000.0,-665.27136,50.562748,-585.35254,-731.0004,1000.0,3.5027737617492676,30.786394119262695,70000,21.22421669960022,,13
-614.66376,7.2539544,-605.22675,-622.8661,1000.0,-649.4061,37.27565,-589.6932,-690.5454,1000.0,3.9033737182617188,23.57937240600586,75000,21.846129894256592,,14
-668.2127,41.685066,-631.3636,-726.4879,1000.0,-623.81885,23.14838,-588.5758,-658.0068,1000.0,3.167158842086792,14.243759155273438,80000,22.469372987747192,,15
-593.5639,38.415516,-556.3007,-646.43317,1000.0,-602.6668,20.910093,-584.6161,-639.85095,1000.0,1.6069451570510864,21.518823623657227,85000,23.091033935546875,,16
-536.3381,46.839195,-478.14847,-592.8435,1000.0,-576.09045,42.396152,-540.82666,-654.0812,1000.0,3.0223257541656494,27.923969268798828,90000,23.71283483505249,,17
-537.9819,20.581818,-519.7336,-566.7444,1000.0,-524.65625,41.075356,-465.0825,-569.03955,1000.0,7.0911149978637695,20.571443557739258,95000,24.335288763046265,,18
-536.9839,25.588814,-512.94165,-572.42847,1000.0,-537.2018,34.478924,-489.30927,-594.66675,1000.0,-1.0633753538131714,16.717632293701172,100000,24.956925868988037,,19
-518.2119,10.024567,-505.3977,-529.87115,1000.0,-539.70074,86.660446,-416.19714,-679.5242,1000.0,-2.9807000160217285,23.422000885009766,105000,25.578535795211792,,20
-477.78873,50.11713,-409.6714,-528.8065,1000.0,-511.99945,41.532608,-470.67905,-591.0954,1000.0,1.0449907779693604,23.36827278137207,110000,32.832062005996704,,21
-489.3503,53.379475,-421.16928,-551.5044,1000.0,-460.03058,15.877923,-447.6667,-490.74158,1000.0,7.432711601257324,20.522262573242188,115000,33.4674859046936,,22
-403.50815,28.043863,-380.05536,-442.93225,1000.0,-508.1753,85.36659,-384.60013,-628.1221,1000.0,-3.7225546836853027,22.957386016845703,120000,34.114880084991455,,23
-462.73447,10.331602,-448.13818,-470.602,1000.0,-428.12857,38.518772,-355.95944,-471.00873,1000.0,5.6542229652404785,17.28679084777832,125000,34.74202585220337,,24
-461.39102,21.695856,-430.71436,-477.2512,1000.0,-434.90656,14.104863,-411.49585,-450.2595,1000.0,2.4857993125915527,22.591224670410156,130000,35.37952899932861,,25
-425.39633,31.132792,-384.74127,-460.36118,1000.0,-463.93976,28.785261,-421.04797,-499.44556,1000.0,-4.193521976470947,22.09770965576172,135000,36.003575801849365,,26
