Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-164.37233,96.117775,-22.599411,-418.5864,85.08333333333333,-181.24544,107.634575,-2.7833328,-421.91046,88.52173913043478,-141.32177734375,12651.1142578125,2036,0.5490381717681885,-181.24544,0
-143.58092,84.251114,22.590408,-377.0841,93.0909090909091,-181.04471,114.930885,-4.7565613,-462.48553,95.85714285714286,-126.40174865722656,11484.283203125,4049,1.3234472274780273,,1
-148.11273,103.26812,4.5061264,-488.27975,94.63636363636364,-126.16653,91.08965,6.061249,-401.0392,98.23809523809524,-68.5499267578125,5271.75537109375,6112,1.9106380939483643,,2
-165.30374,62.050358,-88.27209,-308.58228,93.13636363636364,-165.51369,95.28397,-34.72534,-403.60803,91.5909090909091,-108.98079681396484,8496.0869140625,8127,2.4753432273864746,,3
-165.56728,83.77494,-61.72124,-347.14865,93.9090909090909,-165.37523,97.17922,-62.257584,-381.98972,91.36363636363636,-102.260009765625,7456.8427734375,10137,3.0565829277038574,,4
-122.75899,79.36866,28.729965,-298.5339,100.15,-151.13052,63.429825,-40.55377,-294.9489,96.66666666666667,-81.91931915283203,4543.25244140625,12167,3.631063222885132,,5
-122.75186,67.90922,23.620544,-289.0328,95.52380952380952,-166.29362,111.560135,-0.10058594,-520.9447,103.2,-89.76981353759766,7735.5771484375,14231,4.212212085723877,,6
-111.9531,42.586575,-29.960052,-201.6113,96.0909090909091,-156.46544,80.72369,-56.338043,-339.4758,92.0909090909091,-87.89958190917969,5665.865234375,16257,4.787605047225952,,7
-128.54991,55.787304,-56.014183,-244.41145,97.38095238095238,-134.6002,79.68508,24.97232,-368.49976,94.0,-61.22579574584961,3787.908935546875,18325,5.364930152893066,,8
-130.83835,56.391346,-50.880737,-272.0453,99.04761904761905,-155.4534,94.28817,-62.40149,-467.43,96.66666666666667,-71.09980010986328,4669.89453125,20355,5.954647064208984,,9
-130.17659,46.798737,-62.323044,-239.37753,85.41666666666667,-130.01183,65.24009,-56.380272,-323.31024,94.0909090909091,-48.9559326171875,2477.017333984375,22425,6.521896123886108,,10
-117.04211,45.154156,-61.748306,-227.00613,96.28571428571429,-93.4772,68.41743,77.6281,-185.07155,156.23076923076923,15.610406875610352,2704.61083984375,24456,7.65949010848999,,11
-119.07633,73.17933,-33.711174,-365.5095,83.33333333333333,-103.41485,39.392757,-32.636276,-200.80388,86.41666666666667,-25.756183624267578,1190.23291015625,26530,8.217680215835571,,12
-129.9072,61.121445,-56.815796,-292.31073,85.58333333333333,-114.571594,33.337162,-66.437675,-198.48404,85.0,-34.51796340942383,1213.1751708984375,28570,8.766878128051758,,13
-134.57512,71.98234,-72.80755,-345.3984,92.86363636363636,-118.71983,47.83045,5.8378983,-206.11105,95.61904761904762,-30.38652229309082,1809.411376953125,30578,9.32622218132019,,14
-118.671776,46.50977,-42.381058,-204.60918,91.17391304347827,-102.31112,47.675377,-0.11417389,-249.96312,86.04166666666667,-19.904125213623047,1615.123046875,32643,9.896184206008911,,15
-120.987236,37.88152,-59.960026,-213.9196,92.04545454545455,-122.78164,44.911892,-57.854183,-254.14244,87.0,-38.31260299682617,1480.423583984375,34644,10.450138330459595,,16
-138.01892,85.32578,60.6158,-315.9817,147.55,-120.59934,53.989403,-66.73309,-279.21667,91.5909090909091,-34.8974723815918,1775.650146484375,36659,11.629664182662964,,17
-100.97406,24.93844,-45.796986,-144.2554,84.45833333333333,-119.235535,65.98466,9.980759,-315.33496,89.47826086956522,-31.127809524536133,2129.5849609375,38717,12.203809022903442,,18
-91.964836,40.78815,-6.4182663,-221.07553,82.36,-106.92104,35.235847,-26.66018,-177.6481,88.91304347826087,-16.50913429260254,1071.8251953125,40762,12.753434181213379,,19
-100.67819,45.511288,-16.520035,-198.45496,90.04347826086956,-111.52268,30.784292,-66.13799,-201.78189,94.27272727272727,-16.74732780456543,620.7427978515625,42836,13.31724214553833,,20
-92.494804,22.35223,-51.492897,-141.7444,95.36363636363636,-102.48882,48.76777,-2.475525,-215.41212,91.54545454545455,-11.947117805480957,1169.1781005859375,44850,13.877932071685791,,21
-102.17691,67.30405,46.887154,-340.69244,94.63636363636364,-98.262405,47.195362,-0.5977802,-222.39735,97.71428571428571,-1.6119526624679565,1260.7816162109375,46902,14.46805715560913,,22
-71.740555,37.02647,20.567749,-124.58321,101.3,-103.39936,36.350567,-52.00721,-212.23969,89.21739130434783,-8.246993064880371,697.7947387695312,48954,15.040450096130371,,23
-98.50566,76.2133,26.162376,-356.4518,97.66666666666667,-87.36705,24.199251,-35.736717,-118.48068,94.81818181818181,3.7070531845092773,484.3333435058594,51040,15.614902019500732,,24
-93.28767,49.506584,7.8343353,-257.14288,102.8,-112.70956,44.51718,-48.165424,-241.48425,90.78260869565217,-17.2796630859375,966.9996948242188,53128,16.20803427696228,,25
-91.427765,24.24838,-61.842224,-160.18759,98.85714285714286,-94.94685,32.582493,-48.847603,-177.55154,102.3,5.06927490234375,697.9844360351562,55174,16.785624265670776,,26
-92.72373,48.708782,13.149223,-233.63391,104.1,-96.92483,41.225773,-25.105858,-228.97,104.5,1.3155437707901,816.911376953125,57264,17.385416984558105,,27
-74.425644,40.959274,54.58767,-150.30914,104.55,-94.157394,38.120365,-8.2463455,-167.50874,107.15789473684211,6.307263374328613,861.5263061523438,59300,17.98835325241089,,28
-80.66465,33.778885,-1.3253479,-138.0054,106.7,-75.11507,34.92597,-24.513512,-189.19717,110.3157894736842,20.411832809448242,1119.12548828125,61396,18.6090350151062,,29
-79.2025,51.974995,-7.3947144,-263.95206,102.5,-67.88836,25.674973,-7.4287033,-116.172195,106.5,21.644285202026367,867.1929931640625,63526,19.226969242095947,,30
-74.96399,29.148941,-18.773613,-141.78221,128.3125,-73.53996,29.52439,-30.953754,-158.08662,108.84210526315789,18.22416877746582,918.40673828125,65594,19.855797052383423,,31
-71.039276,39.303738,-1.5974693,-156.1983,112.47368421052632,-67.72419,41.421005,21.3401,-161.60051,115.55555555555556,20.868764877319336,1405.1763916015625,67674,20.483572006225586,,32
-99.50113,65.84513,-25.78035,-298.20764,132.5625,-81.995804,69.577225,30.899956,-270.18726,111.83333333333333,8.919605255126953,1922.73974609375,69687,21.11731791496277,,33
-66.69554,38.952282,5.4498425,-143.32559,122.82352941176471,-67.57859,38.123634,-0.69210625,-154.0036,122.82352941176471,20.58843994140625,1144.977783203125,71775,21.78222918510437,,34
-85.78482,72.38014,9.32403,-212.35696,154.3846153846154,-60.23436,39.171295,0.6186795,-154.13101,142.8,27.36026954650879,1149.8443603515625,73917,22.498555898666382,,35
-68.6879,74.66046,24.88301,-225.77502,162.15384615384616,-77.2895,41.99607,-12.648762,-161.35953,134.06666666666666,12.74863052368164,916.5969848632812,75928,23.182714223861694,,36
-68.89596,65.28075,14.775141,-202.11841,162.30769230769232,-74.36094,43.862453,-13.017952,-175.484,167.53846153846155,21.7840518951416,1271.66943359375,78106,23.95019507408142,,37
-81.48729,96.28747,15.142914,-291.72418,263.9,-50.052757,52.518074,42.772385,-117.76297,269.625,42.68899917602539,2840.597412109375,80263,26.19661808013916,,38
-50.77633,76.5311,53.5265,-180.02466,543.4,-82.79308,64.20946,-7.8010864,-201.35681,198.66666666666666,11.243537902832031,1696.8499755859375,82647,28.819602012634277,,39
-116.14097,100.4547,37.35189,-262.445,216.4,-65.56551,69.9453,32.80986,-191.37578,205.0,14.247674942016602,1764.181640625,84697,29.8998920917511,,40
-142.20267,116.05296,34.569164,-333.7476,210.0,-103.84879,100.47475,2.709076,-275.99002,327.57142857142856,11.336164474487305,2277.431640625,86990,31.532007932662964,,41
-158.37587,88.721634,-55.941765,-313.72028,304.57142857142856,-6.6904926,30.292324,41.676735,-47.029617,427.6666666666667,40.89161682128906,1899.0389404296875,89556,34.305686235427856,,42
-122.99136,103.36719,-3.7029495,-269.33304,533.25,-127.506226,112.78547,55.875175,-325.23712,350.1666666666667,3.0500259399414062,2441.080322265625,91657,37.227226972579956,,43
-94.280304,75.89369,36.060883,-162.09373,353.6666666666667,-128.6372,94.27982,13.732491,-245.7857,330.14285714285717,3.7988083362579346,2174.671142578125,93968,39.338693141937256,,44
-66.6226,58.182392,-24.238071,-148.89227,741.0,-144.65988,93.81828,-43.669167,-264.24493,404.6,6.153267860412598,2192.046875,95991,42.0150249004364,,45
-84.26295,54.29001,6.8481064,-147.54063,382.8333333333333,-106.60469,88.98776,15.762653,-243.67355,330.875,0.8263782858848572,1809.6976318359375,98638,44.54892015457153,,46
-33.83599,33.53518,4.741638,-77.64322,547.6,-52.307564,40.485527,11.881018,-93.62519,402.2,27.80681800842285,1242.1943359375,100649,47.83763790130615,,47
-101.4844,79.44401,9.970894,-203.86073,599.25,-93.84491,76.4472,14.474617,-194.02173,414.4,12.74415397644043,1304.0294189453125,102721,50.12298917770386,,48
-85.839745,68.74805,-29.50444,-182.63094,736.3333333333334,-26.597322,43.736,28.40257,-97.79363,358.1666666666667,28.793851852416992,1465.9522705078125,104870,52.81366515159607,,49
-31.135752,65.82291,78.79266,-113.07794,348.1666666666667,-52.506207,39.949657,-18.26622,-108.54509,924.0,25.951940536499023,948.005859375,107642,56.108010053634644,,50
-54.473965,130.02301,35.803833,-365.3038,301.7142857142857,-49.06021,54.07174,22.470297,-149.76729,256.25,7.359897613525391,1491.1998291015625,109692,58.28258514404297,,51
-14.852789,53.46553,56.010765,-84.446144,306.42857142857144,-92.261566,82.66338,17.040218,-222.99217,409.8333333333333,5.1614251136779785,2216.56005859375,112151,60.85184597969055,,52
9.9361315,36.157467,38.46324,-75.97275,415.57142857142856,1.6954956,35.00846,35.098984,-54.112045,581.25,29.111526489257812,1206.573974609375,114476,64.30126333236694,,53
