Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
13.621622,7.8477106,37.0,3.0,13.621621621621621,8.393728,5.1298504,36.0,3.0,8.393728222996515,8.733396530151367,2409,0.21590018272399902,8.393728,0
24.975609,12.420455,64.0,7.0,24.975609756097562,13.704545,9.119982,65.0,3.0,13.704545454545455,13.776949882507324,4821,0.6010000705718994,,1
31.90625,13.917973,64.0,10.0,31.90625,24.591837,13.286357,66.0,5.0,24.591836734693878,21.331228256225586,7231,0.8430120944976807,,2
40.32,19.419,79.0,13.0,40.32,29.634146,16.089317,97.0,7.0,29.634146341463413,26.035682678222656,9661,1.0557620525360107,,3
58.666668,23.352373,121.0,25.0,58.666666666666664,40.133335,20.3113,88.0,8.0,40.13333333333333,33.81767272949219,12069,1.2608051300048828,,4
68.25,26.90144,149.0,39.0,68.25,59.80488,29.806057,138.0,18.0,59.80487804878049,48.769081115722656,14521,1.502532958984375,,5
71.85714,24.310072,104.0,26.0,71.85714285714286,61.871796,22.431868,126.0,20.0,61.87179487179487,46.063602447509766,16934,1.701235055923462,,6
71.86667,16.439247,109.0,43.0,71.86666666666666,69.22857,30.410604,199.0,41.0,69.22857142857143,54.05715560913086,19357,1.9051039218902588,,7
73.28571,25.347383,126.0,22.0,73.28571428571429,84.89655,42.530594,223.0,38.0,84.89655172413794,66.3752670288086,21819,2.1059579849243164,,8
79.15385,22.215193,123.0,49.0,79.15384615384616,79.70968,22.62199,120.0,44.0,79.70967741935483,55.28208541870117,24290,2.3097100257873535,,9
114.888885,41.369457,179.0,41.0,114.88888888888889,89.655174,43.566257,251.0,39.0,89.65517241379311,71.1827392578125,26890,2.5161540508270264,,10
91.27273,30.301786,165.0,56.0,91.27272727272727,110.181816,56.062172,238.0,37.0,110.18181818181819,86.74237823486328,29314,2.7460529804229736,,11
74.14286,17.687191,117.0,48.0,74.14285714285714,95.5,22.918333,142.0,56.0,95.5,63.159690856933594,31797,2.96635103225708,,12
72.85714,15.706491,97.0,44.0,72.85714285714286,68.05556,17.414783,99.0,34.0,68.05555555555556,45.30754089355469,34247,3.1712658405303955,,13
63.875,18.223867,85.0,14.0,63.875,68.72222,20.798786,107.0,12.0,68.72222222222223,47.55448913574219,36721,3.3910958766937256,,14
88.416664,13.628757,115.0,69.0,88.41666666666667,73.30303,18.119946,116.0,31.0,73.3030303030303,48.31610107421875,39140,3.603429079055786,,15
91.181816,12.740902,121.0,77.0,91.18181818181819,84.06896,12.14831,116.0,57.0,84.06896551724138,52.3170166015625,41578,3.799529790878296,,16
141.875,18.38775,156.0,102.0,141.875,98.36,19.193499,145.0,63.0,98.36,61.85047149658203,44037,4.004921913146973,,17
175.33333,61.61349,261.0,112.0,175.33333333333334,128.8421,33.7565,186.0,60.0,128.8421052631579,83.47720336914062,46485,4.206345796585083,,18
223.85715,272.56528,872.0,28.0,223.85714285714286,348.42856,57.51983,418.0,249.0,348.42857142857144,206.1566162109375,48924,4.433043956756592,,19
100.181816,31.027315,144.0,33.0,100.18181818181819,146.64706,106.5369,376.0,49.0,146.64705882352942,128.34312438964844,51417,4.6391441822052,,20
59.0,45.23143,143.0,18.0,59.0,71.55882,38.717068,219.0,31.0,71.55882352941177,55.68602752685547,53850,4.836979150772095,,21
33.666668,18.680353,75.0,8.0,33.666666666666664,50.0,31.78756,165.0,16.0,50.0,40.77598190307617,56300,5.0381879806518555,,22
42.333332,33.74249,138.0,5.0,42.333333333333336,36.441177,24.482517,124.0,3.0,36.44117647058823,31.133468627929688,58778,5.236023902893066,,23
99.833336,64.17922,213.0,18.0,99.83333333333333,38.796875,38.951565,181.0,4.0,38.796875,45.274559020996094,61261,5.447635173797607,,24
186.33333,53.70806,251.0,80.0,186.33333333333334,89.48276,60.379047,193.0,10.0,89.48275862068965,72.93145751953125,63856,5.670171022415161,,25
